epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1338,0,118.676,0,0,0,0,0,0,156.94,0,5e-05,5e-05,5e-05
2,127.296,0,115.456,0,0,0,0,0,0,156.856,0,0.000101363,0.000101363,0.000101363
3,184.185,0,110.255,0,0,0,0,0,0,156.767,0,0.00014035,0.00014035,0.00014035
4,238.24,0,104.758,0,0,0,0,0,0,156.7,0,0.000166962,0.000166962,0.000166962
